ID,Title,Description,Status,Category,Confidence,Notes,Author,"Created At","Updated At"
01k3wqxwv52g68gr1zsvrameg5,"Feature request: Dark mode","Would love to see a dark mode option for the application. Many users prefer dark themes, especially for extended use.",Cancelled,Technical,89%,"Voluptate adipisci modi quia mollitia illo nihil.","Admin User","2025-08-30 05:41:43","2025-08-30 06:42:15"
01k3wqxwv64r300s7qbyq5favs,"Billing question about subscription","I was charged twice for my monthly subscription. Can you please refund the duplicate charge and explain why this happened?","On Hold",Billing,56%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:32"
01k3wqxwv7v6craehcnpfypzkg,"Feature request: Dark mode","Would love to see a dark mode option for the application. Many users prefer dark themes, especially for extended use.",Active,Technical,55%,"Excepturi ipsa voluptas pariatur velit tenetur rem ad culpa hic consequatur. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:32"
01k3wqxwv8epwrcg66efmmn3rg,"Billing question about subscription","I was charged twice for my monthly subscription. Can you please refund the duplicate charge and explain why this happened?",Completed,Technical,59%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:36:58"
01k3wqxwv8epwrcg66efmmn3rh,"Billing question about subscription","I was charged twice for my monthly subscription. Can you please refund the duplicate charge and explain why this happened?","On Hold",Technical,68%,"Minima ea reprehenderit dolorem excepturi sapiente fugit est.","Admin User","2025-08-30 05:41:43","2025-08-30 05:41:43"
01k3wqxwv9nf26222ym1a9z00w,"Payment method update needed","My credit card expired and I need to update the payment method for my subscription. How can I do this?","On Hold",General,52%,111,"Admin User","2025-08-30 05:41:43","2025-08-30 06:05:54"
01k3wqxwv9nf26222ym1a9z00x,"How to export data","I need to export my data for backup purposes. Could you please guide me through the process?",Active,Billing,67%,,"Admin User","2025-08-30 05:41:43","2025-08-30 06:40:32"
01k3wqxwvan5mc6a0vmtedwb27,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.",Cancelled,Technical,75%,,"Admin User","2025-08-30 05:41:43","2025-08-30 05:44:33"
01k3wqxwvan5mc6a0vmtedwb28,"Bug: Button not working","The save button on the profile page is not responding when clicked. I have tried different browsers but the issue persists.",Active,Billing,74%,"Sint consequatur aut quam quod labore architecto nisi harum. - Internal note for tracking purposes.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:32"
01k3wqxwvbm437ef5w7p0ytn8r,"Website loading very slowly","The website takes forever to load pages. Sometimes it times out completely. This is affecting my work productivity. Please investigate server performance.",Active,"Bug Report",79%,"Itaque nisi deserunt molestias itaque magnam.","Admin User","2025-08-30 05:41:43","2025-08-30 06:40:32"
